StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3_1,Q3_2,Q26,Q2,Q19,Q20,Q21,Q23,Q29,Q18
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,DIRECTED STUDY / DEPARTMENTAL HONORS (Select one that applies you).,. - STUDENT ID NUMBER,. - KC#,Term code,TERM CODE,CLASS,Dept,TITLE [ABREVIATED TITLE AS IT WILL APPEAR ON YOUR TRANSCRIPT – MAX 22 CHARACTERS INCLUDING SPACES],"Project Goals/Outcomes/Timeline: Describe, in detail, your measurable goals and outcomes for your project. Please include a timeline for completion of the project.

Research/Creative Process Method: Describe, in detail, the methods that you will use to achieve the above goals and outcomes.

Evaluation Criteria: In conjunction with your faculty supervisor, provide the criteria for the evaluation of your project.

Frequency of Meetings: Number and length of schedule meeting with faculty supervisor. At least weekly for a semester for a 1.0 unit directed study.",Request directed study to be taken for numerical grade ?,I hereby declare that the details provided above are true and correct.  (Please enter your full name to agree.)
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID18_TEXT""}"
2021-11-29 13:51:44,2021-11-29 13:52:37,Survey Preview,,100,53,True,2021-11-29 13:52:40,R_3P69nvcPLxVvC0p,,,,,12.9633941650390625,77.58551025390625,preview,EN,412 ( 1.00 UNIT),23456789,,Spring 2022	(202210),,JUNIOR,Athletics,gvbkjhjnk.l,kjjnlkl,,hgiukhjl
2021-11-29 13:54:33,2021-11-29 13:55:00,Survey Preview,,100,26,True,2021-11-29 13:55:02,R_xECoFYkn8J7dtp7,,,,,12.9633941650390625,77.58551025390625,preview,EN,411 (.50 UNIT),987654321,,Fall 2023	(202330),,SENIOR,Library Science,hgkj,jbiu,,BB
2021-11-29 13:55:30,2021-11-29 13:56:43,Survey Preview,,100,73,True,2021-11-29 13:56:46,R_3kAiI2q3zHcruWk,,,,,12.9633941650390625,77.58551025390625,preview,EN,412 ( 1.00 UNIT),678998754,,Spring 2025	(202510),,JUNIOR,Admissions,bbjyh,bnvkuj,,AAAA
2021-11-29 13:57:01,2021-11-29 13:57:42,Survey Preview,,100,41,True,2021-11-29 13:57:45,R_2uvVrqVXnv2FAiQ,,,,,12.9633941650390625,77.58551025390625,preview,EN,412 ( 1.00 UNIT),678909821,,Fall 2010	(201030),,SENIOR,Biology,hgkj,"mn,m",,GGGG
2021-11-29 13:57:47,2021-11-29 13:58:18,Survey Preview,,100,30,True,2021-11-29 13:58:20,R_24GAjmby9mbohAl,,,,,12.9633941650390625,77.58551025390625,preview,EN,412 ( 1.00 UNIT),445566778,,Spring 2018	(201810),,JUNIOR,Financial Aid,knlik,jk;ikl,,DDDDDD
2021-11-29 13:59:06,2021-11-29 14:04:08,Survey Preview,,100,301,True,2021-11-29 14:04:10,R_2RPuP66V1Qg5MrE,,,,,12.9633941650390625,77.58551025390625,preview,EN,412 ( 1.00 UNIT),678943215,,Fall 2010	(201030),,JUNIOR,Philosophy,kjloik,lkoplkk,,FFFFFFF
2022-01-17 14:16:47,2022-01-17 14:17:16,Survey Preview,,100,29,True,2022-01-17 14:17:18,R_1oAwhFRQtt1kvMU,,,,,12.9633941650390625,77.58551025390625,preview,EN,412 ( 1.00 UNIT),123456789,,Fall 2024	(202430),,JUNIOR,Operation Bentley,fchg,jhbv,,Gouri Bellad
2022-01-17 14:48:57,2022-01-17 14:49:28,Survey Preview,,100,31,True,2022-01-17 14:49:30,R_2Yx1hsFL056zWZr,,,,,12.9633941650390625,77.58551025390625,preview,EN,412 ( 1.00 UNIT),123456789,,Spring 2023	(202310),,JUNIOR,Academic Skills Center,nkjkn,dfghjoji,,Nandu
2022-01-18 13:30:07,2022-01-18 13:30:37,Survey Preview,,100,30,True,2022-01-18 13:30:39,R_3nCuOhsMxeyHKHb,,,,,12.9633941650390625,77.58551025390625,preview,EN,412 ( 1.00 UNIT),123456789,,Summer 2024	(202420),,JUNIOR,Operation Bentley,gfiyfikh,jkhijkb,,Gouri
2022-01-19 15:23:52,2022-01-19 15:24:20,Survey Preview,,100,27,True,2022-01-19 15:24:22,R_3PzD0W6kyeXMHzt,,,,,12.9633941650390625,77.58551025390625,preview,EN,412 ( 1.00 UNIT),123456789,,Summer 2024	(202420),,JUNIOR,Athletics,jbknm,knm,,Gouri
